,date,team1,team1_score,team2,team2_score,winner,map
505,2022-01-19 15:20,Into the Breach,8,BIG Academy,16,BIG Academy,Inferno
506,2022-01-18 13:10,BIG Academy,9,Into the Breach,16,Into the Breach,Ancient
507,2022-01-18 13:10,BIG Academy,14,Into the Breach,16,Into the Breach,Inferno
508,2022-01-19 15:20,Into the Breach,13,BIG Academy,16,BIG Academy,Nuke
509,2022-01-19 19:25,EC Brugge,11,Into the Breach,16,Into the Breach,Mirage
510,2022-01-19 19:25,EC Brugge,10,Into the Breach,16,Into the Breach,Dust2
511,2022-01-25 19:00,Entropiq,16,Into the Breach,7,Entropiq,Overpass
512,2021-12-19 15:00,LDLC,10,Into the Breach,16,Into the Breach,Inferno
513,2021-12-16 18:00,Into the Breach,16,Linx Legacy,14,Into the Breach,Inferno
514,2022-01-21 10:00,Nexus,16,Into the Breach,12,Nexus,Dust2
515,2022-01-17 14:30,Into the Breach,16,OFFSET,13,Into the Breach,Ancient
516,2021-12-18 19:00,PACT,9,Into the Breach,16,Into the Breach,Dust2
517,2021-12-19 20:00,SAW,16,Into the Breach,8,SAW,Dust2
518,2021-12-19 20:00,SAW,16,Into the Breach,10,SAW,Nuke
519,2022-01-18 15:00,Astralis,16,K23,8,Astralis,Inferno
520,2022-01-18 15:00,Astralis,16,K23,19,K23,Overpass
521,2022-01-21 15:25,K23,6,BIG,16,BIG,Dust2
522,2021-12-19 15:30,K23,16,BLUEJAYS,8,K23,Inferno
523,2021-12-16 15:00,K23,16,Copenhagen Flames,6,K23,Nuke
524,2022-02-02 12:00,Copenhagen Flames,13,K23,16,K23,Inferno
525,2021-12-18 16:35,Dignitas,16,K23,10,Dignitas,Nuke
526,2021-12-18 16:35,Dignitas,11,K23,16,K23,Ancient
527,2022-01-22 12:00,ECSTATIC,16,K23,6,ECSTATIC,Inferno
528,2022-01-25 10:00,K23,16,ECSTATIC,14,K23,Inferno
529,2022-01-25 15:10,K23,9,Endpoint,16,Endpoint,Mirage
530,2022-01-24 09:00,K23,16,GamerLegion,13,K23,Overpass
531,2022-01-27 16:00,HEET,19,K23,16,HEET,Inferno
532,2022-02-01 12:00,Heroic,14,K23,16,K23,Nuke
533,2022-02-01 12:00,Heroic,14,K23,16,K23,Overpass
534,2022-01-27 13:05,MOUZ NXT,9,K23,16,K23,Mirage
535,2022-01-26 16:25,SINNERS,8,K23,16,K23,Inferno
536,2022-01-26 16:25,SINNERS,16,K23,14,SINNERS,Nuke
537,2022-01-26 16:25,SINNERS,11,K23,16,K23,Mirage
538,2022-01-26 12:00,SKADE,16,K23,11,SKADE,Inferno
539,2022-01-26 12:00,SKADE,16,K23,19,K23,Dust2
540,2022-01-31 09:00,Sprout,1,K23,16,K23,Ancient
541,2022-01-23 16:00,UNGENTIUM,3,K23,16,K23,Inferno
542,2021-12-19 14:00,KappaB,7,DREAM,16,DREAM,Inferno
543,2021-12-19 14:00,KappaB,15,DREAM,19,DREAM,Overpass
544,2022-01-23 16:30,Fourth Quarter,16,Kinship Black,12,Fourth Quarter,Vertigo
545,2022-01-23 22:15,Kinship Black,16,InControl,13,Kinship Black,Inferno
546,2022-01-23 22:15,Kinship Black,14,InControl,16,InControl,Dust2
547,2021-12-15 02:30,Kinship,9,Brazen,16,Brazen,Overpass
548,2022-01-20 13:35,KOVA,14,4glory,16,4glory,Inferno
549,2022-01-21 13:00,UNGENTIUM,16,KOVA,6,UNGENTIUM,Mirage
550,2021-12-19 15:00,LDLC,12,Into the Breach,16,Into the Breach,Ancient
551,2021-12-18 16:00,Nemiga,16,LDLC,12,Nemiga,Mirage
552,2021-12-16 16:15,LDLC,16,PACT,5,LDLC,Vertigo
553,2021-12-17 19:00,LDLC,5,SAW,16,SAW,Ancient
554,2021-12-19 16:35,Conquer,16,Lemondogs,11,Conquer,Nuke
555,2022-01-30 20:00,Liberty fe,16,Cruzeiro fe,8,Liberty fe,Vertigo
556,2022-01-16 20:20,MIBR fe,13,Liberty fe,16,Liberty fe,Vertigo
557,2021-12-18 21:20,Liberty,2,MIBR,16,MIBR,Ancient
558,2021-12-17 21:20,Liberty,20,SWS,22,SWS,Nuke
