,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
805,GamerLegion,eraa,14,5,13,76.2%,71.3,1.07,,,,,,
806,SKADE,SHiPZ,22,5,15,80.8%,99.1,1.43,1.43,22,99.1,,,
807,SKADE,SHiPZ,28,4,22,65.9%,79.7,1.25,1.25,,,,,9
808,SKADE,SHiPZ,21,3,15,73.3%,78.9,1.29,1.29,,,,,
809,Wisla Krakow,Goofy,23,4,13,75.0%,87.6,1.41,1.41,23,,,,
810,Wisla Krakow,Sobol,15,3,18,68.4%,91.1,1.00,,,,,,
811,Spirit Academy,KaiR0N-,24,3,17,79.2%,110.6,1.49,1.49,24,110.6,,,
812,FURIA Academy,kauez,16,3,19,60.0%,66.9,0.92,,,,,,
813,MOUZ NXT,mhL,19,4,18,69.6%,92.5,1.20,,,,,,
814,VP.Prodigy,delus1onn,26,4,15,82.1%,87.5,1.57,1.57,26,,,22,6
815,Spirit Academy,zont1x,23,4,11,82.8%,77.3,1.30,1.30,23,,,,
816,Sprout,slaxz-,29,2,15,74.1%,105.9,1.70,1.70,29,105.9,,21,9
817,Sprout,Marix,25,2,14,85.7%,114.1,1.77,1.77,25,114.1,,,5
818,BLINK,gxx-,17,3,19,62.5%,74.3,0.91,,,,,,
819,Sprout,raalz,37,19,34,77.1%,82.6,1.19,,,,,,
820,Sprout,raalz,23,5,15,81.5%,90.7,1.39,1.39,,,,,
821,Endpoint,Surreal,22,2,21,72.4%,79.6,1.10,,,,,,
822,Endpoint,BOROS,29,3,27,62.9%,82.8,0.99,,,,,,
823,Sprout,Spiidi,21,2,6,95.7%,95.5,1.77,1.77,,,,,
824,Sprout,Marix,25,5,16,76.9%,105.5,1.53,1.53,25,105.5,,,
825,Sprout,faveN,33,4,19,86.2%,106.9,1.64,1.64,33,106.9,,,
826,GamerLegion,iM,42,7,34,68.1%,98.0,1.28,1.28,42,98.0,,,
827,Sprout,raalz,16,5,18,65.2%,85.2,0.92,,,,,,
828,Sprout,Spiidi,19,2,17,50.0%,86.6,1.03,,,,,,
829,Sprout,Staehr,24,2,13,69.2%,92.3,1.43,1.43,24,92.3,,,
830,Sprout,Spiidi,17,8,18,81.5%,92.0,1.21,,,92.0,8,,
831,Stars Horizon,UnK,21,5,8,85.0%,101.3,1.76,1.76,21,101.3,,,
832,Stars Horizon,vLa,30,4,12,80.8%,107.0,1.82,1.82,30,,,,8
833,ELEVATE,naitte,20,6,19,66.7%,111.7,1.40,,,111.7,6,,6
834,ELEVATE,koala,31,4,14,80.8%,116.2,1.76,1.76,31,116.2,,,
835,Stars Horizon,lukz,20,2,18,65.4%,68.1,1.00,,,,,,
836,Steel Helmet,Ayeon,15,0,17,65.0%,77.2,0.93,,,,,,
837,Steel Helmet,nighttime,24,4,15,79.2%,106.6,1.52,1.52,24,106.6,,,5
838,Steel Helmet,nighttime,22,2,18,69.6%,99.9,1.29,,22,,,,
839,Strife,J0LZ,24,1,22,57.1%,90.2,1.22,,,,,,6
840,Strife,stamina,20,9,13,76.9%,97.0,1.43,1.43,,97.0,6,,
841,Orgless,daps,39,8,26,85.0%,99.0,1.46,1.46,39,99.0,,,
842,Party Astronauts,cynic,24,6,11,88.0%,89.0,1.64,1.64,24,,,,4
843,Strife,J0LZ,27,6,11,95.2%,132.0,2.05,2.05,27,132.0,,,7
844,Third Impact,Danejoris,9,3,15,55.6%,71.9,0.89,,,,,,
845,Strife,J0LZ,24,1,9,86.4%,90.5,1.64,1.64,24,,,,
846,Strife,SLIGHT,29,4,9,84.0%,113.2,1.85,1.85,29,113.2,,21,
847,Strife,SATURN,23,4,20,70.0%,75.0,1.16,,,,,,6
848,Valors,droid,14,1,20,50.0%,65.2,0.79,,,,,,
849,Black Dragons,detr0ittJ,22,10,21,70.0%,74.1,1.13,,22,,,9,
850,Black Dragons,fREQ,20,5,17,85.2%,89.4,1.28,,20,89.4,,,4
851,ELEVATE,naitte,25,1,14,82.6%,121.9,1.84,1.84,25,121.9,,,5
852,ELEVATE,koala,25,1,20,70.4%,82.9,1.13,,,,,,
853,Liberty,remix,21,5,14,75.0%,73.1,1.25,,,,,12,
